dates,number_of_marriage
2071-12-02,15
2070-02-05,14
2066-01-07,10
2068-01-13,8
2071-12-09,10
2067-03-14,8
2071-06-12,6
2070-10-10,16
2067-07-26,9
2069-04-16,13
2068-10-20,8
2071-02-06,6
2071-07-30,18
2066-07-08,9
2071-08-31,14
2066-05-24,6
2067-06-05,9
2066-08-22,10
2070-06-03,7
2069-09-30,10
2067-08-15,9
2066-10-21,8
2066-11-25,9
2067-10-31,17
2071-03-10,13
2068-05-15,21
2067-02-26,12
2070-12-09,13
2067-04-12,17
2068-06-27,17
2070-01-31,13
2069-08-13,10
2071-06-04,8
2070-02-09,13
2071-08-17,8
2070-10-23,9
2066-05-17,9
2068-06-20,12
2067-05-04,11
2066-02-21,11
2067-07-02,13
2068-10-24,14
2067-10-18,8
2068-06-28,11
2071-06-27,11
2068-12-07,15
2069-01-05,10
2069-11-19,5
2069-12-06,10
2066-08-07,6
2069-05-12,12
2070-02-24,7
2069-10-30,5
2068-09-18,13
2066-12-30,6
2067-06-05,19
2068-10-07,10
2070-11-17,11
2071-12-19,13
2069-10-02,10
2066-09-30,11
2068-08-14,11
2070-12-15,11
2069-03-24,5
2071-10-03,6
2069-07-24,7
2069-02-03,10
2071-03-22,13
2068-01-07,7
2068-10-15,11
2071-03-05,7
2066-04-20,11
2071-04-19,8
2069-06-10,8
2071-09-18,10
2069-12-23,12
2070-04-18,20
2071-04-25,6
2068-08-11,10
2071-09-14,5
2068-10-14,11
2070-01-18,13
2067-03-08,9
2066-03-03,8
2068-11-14,9
2069-07-31,10
2071-03-05,7
2068-06-25,9
2068-04-16,12
2067-11-24,5
2066-05-27,11
2067-03-02,6
2068-03-18,9
2067-01-21,14
2068-11-22,12
2069-01-10,14
2071-05-29,10
2066-03-26,16
2069-11-18,15
2066-03-29,13
